PG.ProteinAccessions	PG.Genes	[1] 705_thg3_IT3_5.raw.PG.MS2Channel1	[2] 704_thg2_IT3_5.raw.PG.MS2Channel1	[3] 703_thg1_IT3_5.raw.PG.MS2Channel1	[4] 702_tun3_IT3_5.raw.PG.MS2Channel1	[5] 701_tun2_IT3_5.raw.PG.MS2Channel1	[6] 700_tun1_IT3_5.raw.PG.MS2Channel1	[7] 699_con3_IT3_5.raw.PG.MS2Channel1	[8] 698_con2_IT3_5.raw.PG.MS2Channel1	[9] 697_con1_IT3_5.raw.PG.MS2Channel1	[1] 705_thg3_IT3_5.raw.PG.MS2Channel2	[2] 704_thg2_IT3_5.raw.PG.MS2Channel2	[3] 703_thg1_IT3_5.raw.PG.MS2Channel2	[4] 702_tun3_IT3_5.raw.PG.MS2Channel2	[5] 701_tun2_IT3_5.raw.PG.MS2Channel2	[6] 700_tun1_IT3_5.raw.PG.MS2Channel2	[7] 699_con3_IT3_5.raw.PG.MS2Channel2	[8] 698_con2_IT3_5.raw.PG.MS2Channel2	[9] 697_con1_IT3_5.raw.PG.MS2Channel2
A0A024QZW4;Q9H1N7	SLC35B3	2185.4189453125	2588.69482421875	2769.408935546875	2260.132080078125	2190.1484375	2445.940185546875	1264.96533203125	1091.728271484375	1296.74072265625	478.6552734375	629.4859008789062	508.4316711425781	795.1221923828125	808.2545166015625	769.0108642578125	658.2241821289062	689.93994140625	751.207763671875
A0A024QZX5;A0A087X1N8;P35237	SERPINB6	26488.05859375	23975.828125	27194.19921875	20734.931640625	31764.203125	31906.544921875	22266.2734375	21402.8046875	21850.251953125	19745.986328125	19790.3359375	19554.595703125	13930.369140625	18513.060546875	16493.96875	21191.91796875	18686.515625	19835.5703125
A0A024R0Y4;A0A087WWR4;O75478	TADA2A	NaN	391.4966735839844	NaN	282.992431640625	288.6124267578125	185.37847900390625	103.8516845703125	155.08717346191406	129.9916229248047	NaN	2336.494384765625	NaN	2343.885986328125	713.0502319335938	2523.77490234375	478.06231689453125	1131.703125	1324.403076171875
A0A024R1R8;Q9Y2S6	TMA7B;TMA7	8638.06640625	4740.7216796875	6556.56787109375	4024.972900390625	4335.689453125	4218.578125	7770.82666015625	6189.81982421875	1923.3182373046875	4681.89453125	2071.71533203125	3478.713134765625	1663.1845703125	2428.068359375	2150.94482421875	8540.7724609375	5374.7216796875	2845.580322265625
A0A024R3Z1	MAP2	1198.2200927734375	1297.048828125	1059.6971435546875	1729.8807373046875	1331.0340576171875	1648.046630859375	1272.379150390625	1122.1160888671875	1133.67529296875	671.2081298828125	829.0857543945312	662.54931640625	881.6119995117188	811.1644287109375	1144.7742919921875	1452.36474609375	1035.9962158203125	1289.2493896484375
A0A024R4E5;Q00341	HDLBP	68484.78125	71281.40625	70042.0859375	70498	67108.7109375	70953.515625	43003.265625	43411.7890625	44146.484375	52317.84375	55520.578125	54358.375	55221.8203125	52882.0234375	53114.765625	70763.84375	69541.03125	69557.4765625
A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8	TMEM120A	4304.5947265625	4314.82763671875	4755.44775390625	1785.0228271484375	2333.05908203125	2071.63330078125	317.7926330566406	699.958984375	374.68756103515625	3070.344482421875	2412.63330078125	2612.15087890625	1059.5377197265625	1656.52099609375	1271.186279296875	193.8699188232422	370.82806396484375	558.34912109375
A0A024R5G9;A0A7I2V2K3;A0A7I2V3M3;A0A7I2V3X1;A0A7I2V411;A0A7I2V5Q1;H0YD65;Q9UBX1	CTSF	1653.9420166015625	1313.2208251953125	1637.16552734375	983.9492797851562	1184.3763427734375	1574.666259765625	1202.0677490234375	1636.1658935546875	1165.8280029296875	1692.842041015625	1680.5230712890625	1953.254638671875	3430.91748046875	2768.2646484375	2592.0107421875	2559.378662109375	1856.52294921875	2208.049072265625
A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002	ELOF1	9143.302734375	13265.390625	9963.5849609375	9028.544921875	8468.37109375	11240.3212890625	5227.3837890625	5138.7587890625	5108.90283203125	6646.3818359375	7214.56201171875	7462.97998046875	6825.34033203125	5685.85302734375	6137.71533203125	10659.650390625	9630.4619140625	10731.611328125
A0A024R7P0;O14593	RFXANK	1266.3482666015625	1653.8934326171875	2007.3028564453125	1850.3719482421875	1919.0516357421875	1925.454833984375	1407.3931884765625	1398.8770751953125	1522.105712890625	379.0152587890625	469.92559814453125	640.6887817382812	857.5126953125	844.8135986328125	830.5082397460938	1578.2974853515625	1571.82763671875	1522.3114013671875
A0A024RA52;P25787	PSMA2	95974.0546875	93913.359375	86574.140625	76453.84375	84276.6796875	78286.390625	59032.140625	57623.8828125	57992.140625	21054.62109375	20309.61328125	18773.974609375	13847.6142578125	17248.03515625	18023.8515625	34423.38671875	35013.1015625	30391.40234375
A0A024RCG2;Q96BI1	SLC22A18	3030.006591796875	2640.407958984375	3182.003662109375	2467.841064453125	3110.64892578125	2780.404052734375	2323.438232421875	2979.470458984375	2645.808349609375	2797.017333984375	2871.30126953125	2857.363525390625	2131.983642578125	3008.02490234375	2606.950439453125	2007.990478515625	1962.1851806640625	2442.71630859375
A0A024RCM4;A0A0G2JK23;A0A7I2V508;A0A7P0MQS5;P46379	BAG6	14463.9638671875	14177.447265625	15166.4736328125	17345.56640625	15719.828125	15584.96875	10630.6650390625	10647.1201171875	11299.2451171875	13470.1982421875	13782.6025390625	15325.2099609375	16389.90625	14856.2705078125	14378.0439453125	23097.671875	22605.251953125	22519.15625
A0A024RCN4;A0A087X2F1;Q16670	ZSCAN26	163.48089599609375	165.54051208496094	265.2419128417969	156.43028259277344	134.42103576660156	167.12863159179688	196.44009399414062	83.42430114746094	110.90260314941406	277.74737548828125	200.75408935546875	488.84197998046875	268.7589111328125	295.5372009277344	194.44833374023438	289.6904296875	318.51788330078125	441.70001220703125
A0A024RCX6;A0A0G2JH76;A0A140T8X7;Q9UMR5	PPT2	1871.4583740234375	3017.97509765625	2460.69482421875	3156.034912109375	2079.011474609375	2097.916015625	1658.1497802734375	1984.6060791015625	1959.42041015625	3002.28515625	4064.159423828125	3447.0556640625	3881.806640625	3785.4287109375	3106.91552734375	4767.7890625	4790.98681640625	4730.384765625
A0A067XG54	ATP11C	537.5940551757812	1747.988525390625	1077.2225341796875	685.318603515625	1652.4593505859375	1363.437255859375	1004.2994384765625	995.2655029296875	1108.7625732421875	5.398054122924805	480.9205627441406	225.21087646484375	301.8638610839844	247.1011962890625	374.3126525878906	951.5047607421875	536.11474609375	1148.6405029296875
A0A075B6E5	ENAH	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A075B6E9;A0A494C1A4;Q96NW7	LRRC7	1449.6905517578125	2163.34814453125	812.7161254882812	647.4496459960938	476.3409729003906	NaN	416.1071472167969	115.41165161132812	336.1229553222656	1297.36767578125	1043.0439453125	586.996826171875	416.5223693847656	954.6366577148438	NaN	589.9247436523438	599.6193237304688	287.60546875
A0A075B6F3;Q96JB1	DNAH8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A075B6F9	NOSIP	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A075B730	EPPK1	3494.8603515625	3154.974365234375	3528.245849609375	3255.29638671875	2789.77294921875	3306.873779296875	1973.28466796875	1807.737548828125	1768.9573974609375	1115.88818359375	1219.402099609375	2928.15673828125	1234.711669921875	1596.873779296875	1286.2330322265625	2948.668701171875	2443.4287109375	2347.67626953125
A0A075B773;O00623	PEX12	2490.87890625	2886.2001953125	3702.61181640625	2750.007568359375	2727.44384765625	2707.0791015625	2696.13525390625	3101.87548828125	2737.612060546875	2296.221923828125	2626.485107421875	2841.168701171875	1776.4940185546875	2216.3955078125	2051.0654296875	3029.0087890625	2420.399169921875	3793.56396484375
A0A075B7G4;B4DXR9;B4E159;D6RGC2;E5RGH0;E9PN20;K7EJG2;K7ERG6;Q8IYB9;Q8TB69	ZNF595;ZNF732;ZNF721;ZNF721;ZNF721;ZNF595;ZNF519;ZNF519;ZNF595;ZNF519	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A087WT15	ALG13	1435.9410400390625	1927.810791015625	1793.518310546875	616.6444702148438	1498.227294921875	1535.9781494140625	872.7485961914062	1047.986572265625	695.5810546875	249.982421875	460.719482421875	360.3249206542969	344.8182678222656	505.6186218261719	406.30743408203125	505.3713073730469	371.84161376953125	367.5115051269531
A0A087WT20;Q9NV06	DCAF13	11990.927734375	11379.283203125	12855.7099609375	11743.6494140625	10976.2412109375	12016.224609375	6268.0771484375	5857.384765625	5893.998046875	14738.0927734375	14787.376953125	18475.48046875	17614.2734375	18022.5625	17256.591796875	23259.009765625	22636.55859375	23701.7578125
A0A087WT22;A0A087WXZ1;A0A087X1Q1;A0A0U1RQC9;A0AAQ5BHX5;A0AAQ5BHY1;A0AAQ5BHZ9;E7ESS1;E9PFT5;I3L0W9;J3KP33;P04637;S4R334	TP53	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A087WT23;A0A087WV67;O00124	UBXN8	848.9199829101562	1282.392822265625	1334.6884765625	953.8594970703125	1158.3272705078125	910.8900756835938	1077.560791015625	1066.62451171875	1073.0113525390625	1893.5050048828125	2597.95654296875	2085.05615234375	1478.5108642578125	1665.400634765625	1671.890625	2439.659423828125	2472.657958984375	2985.7158203125
A0A087WT42;Q5VVW5;Q9NY64	SLC2A8	941.5162963867188	1970.355224609375	2046.06787109375	1597.649658203125	2067.9833984375	1363.93994140625	1067.1531982421875	1433.0888671875	809.304443359375	1035.2398681640625	894.4000854492188	1656.56005859375	1459.999267578125	1636.8084716796875	1208.8922119140625	366.2510681152344	900.3977661132812	1110.6795654296875
A0A087WT67	ZNF195	1197.46923828125	1203.0762939453125	1314.187255859375	904.5388793945312	1166.5360107421875	1117.0946044921875	1345.83447265625	1463.04150390625	1078.4805908203125	4188.439453125	2633.989990234375	4152.0400390625	2989.431640625	4627.78173828125	3633.045166015625	5489.8935546875	5723.94140625	5753.1982421875
A0A087WT95;P49753	ACOT2	211.08619689941406	269.13629150390625	237.2100830078125	74.41056823730469	143.7902069091797	283.3283386230469	229.77291870117188	213.50897216796875	183.1386260986328	8.704215049743652	83.98484802246094	47.25978469848633	9.124817848205566	30.8971004486084	43.951873779296875	150.23265075683594	118.13156127929688	72.19462585449219
A0A087WT99;Q9H0W9	C11orf54	2582.688232421875	3095.462158203125	3014.3720703125	3673.02685546875	4166.0341796875	6375.34130859375	3967.236083984375	3553.96533203125	4147.66015625	1761.60107421875	2489.06103515625	2287.16357421875	2574.585205078125	2810.7119140625	4846.86181640625	3349.693359375	2989.8095703125	2837.730224609375
A0A087WTF0	PTPDC1	182.5533447265625	243.5071258544922	245.51010131835938	188.6205291748047	94.50402069091797	39.327117919921875	42.53046417236328	53.11050796508789	13.108407020568848	745.3441162109375	775.2327270507812	764.6647338867188	470.0149230957031	671.005615234375	595.5239868164062	97.68236541748047	29.342952728271484	159.21444702148438
A0A087WTU9;A0A804HJA5;A0A804HL70;Q8TCU4	ALMS1	551.3834838867188	559.21240234375	645.4600830078125	742.9418334960938	568.5421752929688	720.9884033203125	429.1434020996094	387.1989440917969	550.4755249023438	581.2998046875	654.6395263671875	672.8197021484375	560.9325561523438	586.689208984375	785.544921875	938.8125	989.5944213867188	842.703125
A0A087WTW0;A0A087WVR3;Q96T88	UHRF1	11733.2978515625	10213.6083984375	11838.576171875	9895.279296875	10663.5126953125	11636.591796875	9801.01171875	9901.052734375	9835.5087890625	18330.03515625	16064.9765625	17518.978515625	19105.359375	21264.296875	15996.7587890625	47857.859375	46971.73828125	47677.703125
A0A087WTW1;A0A087X1I1;Q69YU3	ANKRD34A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A087WTW5;Q9UKL3	CASP8AP2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A087WTY5;A0A3B3ISV3;P02462	COL4A1	675.7098388671875	770.3831787109375	727.576416015625	705.59619140625	572.7886352539062	605.518310546875	654.43798828125	634.2509155273438	554.138916015625	1075.694091796875	924.8508911132812	978.8201904296875	853.8463745117188	821.1577758789062	730.7550659179688	2148.0859375	2123.3583984375	1961.8660888671875
A0A087WU03	HNRNPDL	41694.25	34180.57421875	31780.880859375	27465.515625	22113.791015625	25763.427734375	16309.427734375	18989.154296875	18958.9765625	17007.92578125	15399.556640625	14122.8056640625	12838.1396484375	12038.162109375	12743.173828125	25121.119140625	25530.666015625	26744.279296875
