PG.ProteinAccessions	PG.Genes	[1] 912_thg3_IT3_5_H730.raw.PG.MS2Channel1	[2] 911_thg2_IT3_5_H730.raw.PG.MS2Channel1	[3] 910_thg1_IT3_5_H730.raw.PG.MS2Channel1	[4] 909_tun3_IT3_5_H730.raw.PG.MS2Channel1	[5] 908_tun2_IT3_5_H730.raw.PG.MS2Channel1	[6] 907_tun1_IT3_5_H730.raw.PG.MS2Channel1	[7] 906_con3_IT3_5_H730.raw.PG.MS2Channel1	[8] 905_con2_IT3_5_H730.raw.PG.MS2Channel1	[9] 904_con1_IT3_5_H730.raw.PG.MS2Channel1	[1] 912_thg3_IT3_5_H730.raw.PG.MS2Channel2	[2] 911_thg2_IT3_5_H730.raw.PG.MS2Channel2	[3] 910_thg1_IT3_5_H730.raw.PG.MS2Channel2	[4] 909_tun3_IT3_5_H730.raw.PG.MS2Channel2	[5] 908_tun2_IT3_5_H730.raw.PG.MS2Channel2	[6] 907_tun1_IT3_5_H730.raw.PG.MS2Channel2	[7] 906_con3_IT3_5_H730.raw.PG.MS2Channel2	[8] 905_con2_IT3_5_H730.raw.PG.MS2Channel2	[9] 904_con1_IT3_5_H730.raw.PG.MS2Channel2
A0A024QZP7	CDK1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A024QZW4;Q9H1N7	SLC35B3	1384.7176513671875	1068.4837646484375	1083.0638427734375	1817.927978515625	1592.00390625	1262.58740234375	544.6691284179688	491.1219177246094	460.2560119628906	473.4627685546875	773.3363647460938	1030.292724609375	1025.7340087890625	1291.07275390625	1091.0604248046875	1489.7227783203125	836.107177734375	622.0604248046875
A0A024R0Y4;O75478	TADA2A	1053.649169921875	1123.3282470703125	1079.0960693359375	966.1927490234375	1091.376220703125	1198.1822509765625	895.5264892578125	627.4269409179688	882.0875244140625	911.4453125	905.8650512695312	961.6236572265625	1209.237548828125	1165.054931640625	989.1866455078125	1313.8021240234375	1297.2410888671875	1501.2218017578125
A0A024R1R8;Q9Y2S6	TMA7B;TMA7	2565.745849609375	2820.710693359375	2940.7578125	2670.953369140625	2438.078125	2390.196533203125	2445.11865234375	2461.677001953125	2361.20751953125	1938.1883544921875	2488.44189453125	2435.061767578125	2105.05859375	2200.9873046875	1750.8558349609375	3730.39990234375	3661.742431640625	3445.55126953125
A0A024R4E5;Q00341	HDLBP	46625.6796875	44225.55078125	44961.5234375	42033.4765625	42770.7421875	43470.4375	37034.08984375	35819.76171875	33622.58984375	46061.1015625	45317.6171875	45648.6640625	40922.73828125	38497.80078125	39393.98828125	52769.40234375	48408.21875	50758.15625
A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8	TMEM120A	2768.781982421875	1665.855224609375	2339.112548828125	1678.6944580078125	1891.7320556640625	1841.707275390625	1446.238525390625	1435.6785888671875	1804.246337890625	1642.914306640625	1103.8536376953125	1352.8096923828125	1318.84130859375	1469.79248046875	1132.8245849609375	1400.8404541015625	1504.95947265625	1549.5587158203125
A0A024R6N5;A0A0G2JRN3;P01009	SERPINA1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002	ELOF1	7965.802734375	7338.62939453125	8633.2783203125	7723.20263671875	7902.61962890625	6994.10693359375	6326.8623046875	6397.19921875	6430.26806640625	8472.9453125	8274.60546875	8547.7275390625	8826.759765625	9409.2568359375	8176.75341796875	11293.3232421875	11443.0986328125	11036.4736328125
A0A024R7P0;O14593	RFXANK	918.4008178710938	911.2628173828125	797.6194458007812	837.9913330078125	741.4413452148438	1006.5332641601562	747.0586547851562	575.8668212890625	604.7243041992188	1250.2320556640625	1547.6966552734375	1182.583984375	1931.0811767578125	1904.7322998046875	1744.799560546875	1806.201416015625	1854.4281005859375	1695.2745361328125
A0A024RA52;P25787	PSMA2	107304.3359375	113096.7265625	115084.0234375	93162.203125	100336.2578125	103740.875	79186.953125	75896.5546875	76097.21875	52368.4609375	54922.26953125	56429.05078125	50253.59765625	55024.4140625	54099.2890625	64683.86328125	59280.9765625	64350.24609375
A0A024RBG1	NUDT4B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A024RCG2;Q96BI1	SLC22A18	4457.109375	3505.0615234375	4025.59033203125	4051.925048828125	3540.317626953125	3717.661865234375	3651.912841796875	3669.489013671875	3881.2861328125	2761.558837890625	2534.75048828125	2397.010986328125	2832.400634765625	2697.24169921875	2265.706787109375	3926.60107421875	4285.8505859375	3902.830322265625
A0A024RCM4;A0A0G2JK23;A0A7I2V508;A0A7P0MQS5;P46379	BAG6	43178.34375	43083.8515625	43203.796875	40129.4609375	41230.44921875	39511.125	29007.0703125	32059.5	29828.798828125	41266.984375	47685.31640625	48828.578125	49060.8203125	45945.74609375	45981.79296875	53560.09765625	46394.4375	49109.078125
A0A024RCN4;A0A087X2F1;Q16670	ZSCAN26	537.0230102539062	880.6824340820312	783.873046875	725.673828125	890.7388305664062	632.5853881835938	663.1973266601562	533.1507568359375	511.0364685058594	975.4961547851562	722.5923461914062	1218.1422119140625	1039.7947998046875	1170.192138671875	1118.174072265625	992.5188598632812	1206.6102294921875	1127.25048828125
A0A024RCX6;Q9UMR5	PPT2	5145.34765625	5276.58935546875	5585.55517578125	5251.6015625	5762.654296875	5160.875	4388.68115234375	4142.93994140625	4017.890380859375	13268.9970703125	13079.83203125	12616.09765625	10443.740234375	10351.1435546875	10052.376953125	9685.4775390625	9523.685546875	10219.0439453125
A0A044PY82;Q96FF7	MISP3	202.18067932128906	66.33453369140625	42.90592575073242	62.03684997558594	11.569547653198242	113.18838500976562	69.70223999023438	23.20940399169922	74.21662139892578	104.35997772216797	153.66009521484375	35.329833984375	66.89404296875	NaN	26.1218204498291	163.0409698486328	226.484619140625	287.41253662109375
A0A067XG54;A0A804HIW2;Q8NB49	ATP11C	3101.12939453125	2535.3369140625	2449.821533203125	2951.650390625	2315.958251953125	2633.694580078125	2388.662353515625	1872.897705078125	2248.676513671875	5790.35009765625	4741.26171875	4709.84521484375	5352.01416015625	4918.4521484375	4438.46142578125	7901.13232421875	8817.6572265625	7701.7939453125
A0A075B6E9;A0A494C1A4;Q96NW7	LRRC7	952.7730102539062	45.936180114746094	295.00555419921875	912.4169921875	583.0264892578125	606.833740234375	942.3170166015625	1285.5977783203125	691.5203247070312	330.0545349121094	152.96986389160156	329.7513122558594	178.1627197265625	213.07510375976562	599.735107421875	251.31805419921875	478.57769775390625	529.484375
A0A075B6F9	NOSIP	1761.062255859375	1488.4796142578125	1693.5977783203125	1687.5179443359375	1434.043212890625	1029.484130859375	1284.369384765625	1400.2772216796875	918.4152221679688	1308.6734619140625	1540.93994140625	1802.0172119140625	1703.1314697265625	1367.468017578125	1621.1923828125	2649.88525390625	1985.93701171875	1863.4766845703125
A0A075B6H4	KAT14	1385.748046875	1111.165771484375	1702.7158203125	1415.91015625	1371.8563232421875	1387.6788330078125	741.357177734375	1149.9661865234375	814.108154296875	1437.24658203125	1427.4456787109375	1818.9649658203125	1197.30322265625	1208.424072265625	1179.88330078125	1581.900390625	1484.842529296875	1546.5159912109375
A0A075B751	LIPG	10751.1875	8791.82421875	8026.34375	9791.78125	9686.5390625	10532.8017578125	13139.94921875	24447.66796875	14799.9833984375	11178.3154296875	8956.796875	7923.83349609375	9116.2802734375	10609.501953125	9782.287109375	18361.40625	32865.796875	20004.109375
A0A075B773;O00623	PEX12	1860.36474609375	2167.86572265625	2353.0986328125	2046.1693115234375	2399.4736328125	2794.2509765625	2272.44775390625	2079.36474609375	2181.765625	2716.2900390625	1738.439453125	2522.258544921875	2355.0986328125	2371.516357421875	2563.769287109375	3314.9951171875	3484.6103515625	4062.060546875
A0A075B7G4;E9PN20;Q8IYB9	ZNF595	433.2685241699219	575.6600952148438	463.7967529296875	513.974853515625	393.2222900390625	632.7734375	520.8742065429688	442.8896484375	535.4761352539062	830.3050537109375	1371.96435546875	1372.029296875	1126.100341796875	1083.306396484375	1308.947265625	2027.4912109375	1653.7698974609375	2095.0224609375
A0A087WT15	ALG13	4167.701171875	2649.618408203125	1856.5234375	4372.7802734375	3352.888427734375	3948.40234375	1931.370361328125	1663.36669921875	1074.348388671875	1072.7225341796875	1204.08154296875	1373.5272216796875	1269.8233642578125	1385.0916748046875	1141.8065185546875	1184.3502197265625	1298.17236328125	1367.18408203125
A0A087WT20;Q9NV06	DCAF13	14103.0625	12999.244140625	13096.8125	13271.9228515625	12602.1181640625	12535.357421875	10054.5087890625	9604.185546875	9743.4296875	31659.912109375	29495.25390625	30690.953125	33776.359375	32389.06640625	31848.875	35470.015625	33452.30859375	36146.8125
A0A087WT23;A0A087WV67;O00124	UBXN8	957.583740234375	837.0782470703125	960.9027099609375	846.7587890625	773.7418823242188	847.7470703125	723.4810180664062	1005.086669921875	752.1634521484375	2805.15380859375	3716.080322265625	3980.203125	3346.632080078125	3754.153076171875	3660.2890625	3070.740234375	3099.75830078125	3012.321044921875
A0A087WT42;Q5VVW5;Q9NY64	SLC2A8	1552.2945556640625	1552.0245361328125	937.9458618164062	1680.8907470703125	1727.661865234375	1645.6961669921875	1681.090087890625	1169.4200439453125	1339.2589111328125	1203.4139404296875	1821.6839599609375	1629.4619140625	2616.490234375	3149.226806640625	2638.0849609375	2354.3388671875	2290.627685546875	3136.325439453125
A0A087WT44	HMOX2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A087WT67	ZNF195	850.9713745117188	783.6356201171875	776.7112426757812	655.6290893554688	777.1014404296875	563.5175170898438	629.5850219726562	388.711181640625	525.2175903320312	1143.7391357421875	1202.9498291015625	1201.4129638671875	1163.720703125	1433.426025390625	1540.140380859375	1631.160400390625	1104.9822998046875	1735.89111328125
A0A087WT87;A0A087X0U3;A0A7P0TAG7;P43003	SLC1A3	289.90203857421875	44.17056655883789	144.7323455810547	177.5335693359375	192.3060760498047	153.4532470703125	81.24105072021484	227.96737670898438	221.68157958984375	198.5141143798828	70.61658477783203	65.4668197631836	597.5922241210938	132.88638305664062	263.5035400390625	544.7452392578125	575.4796142578125	632.3239135742188
A0A087WT95;P49753	ACOT2	421.76165771484375	383.2987365722656	362.65625	324.95672607421875	101.96722412109375	411.4119873046875	359.0604553222656	115.91258239746094	131.63612365722656	564.9937133789062	254.40023803710938	398.4878234863281	350.3734436035156	553.1763916015625	421.6971435546875	453.73175048828125	203.3641357421875	426.1238708496094
A0A087WTB7	SCAF11	351.2522277832031	402.5513916015625	249.69142150878906	259.6956787109375	224.31503295898438	374.6659851074219	248.77244567871094	267.9405517578125	241.74929809570312	636.0228271484375	938.6148681640625	280.99755859375	461.3235168457031	680.6201782226562	736.0296630859375	1212.669677734375	829.8489990234375	1253.5198974609375
A0A087WTF0;A2A3K4	PTPDC1	132.91360473632812	133.92520141601562	206.21023559570312	247.60696411132812	104.84027099609375	193.8024444580078	51.8055419921875	107.37110900878906	118.91653442382812	442.7029724121094	397.8046875	594.7933959960938	419.7934875488281	181.1424102783203	349.4254455566406	452.2665710449219	165.13047790527344	94.3238525390625
A0A087WTJ7	TPM1	768.3814697265625	1563.671630859375	1263.4803466796875	932.1578369140625	1429.215087890625	1147.0533447265625	699.9057006835938	889.7721557617188	813.7860107421875	1219.2181396484375	1433.724609375	1302.528564453125	1342.2952880859375	1835.48095703125	1060.46826171875	1327.755615234375	850.9657592773438	2277.70458984375
A0A087WTU9;A0A804HJA5;A0A804HL70;Q8TCU4	ALMS1	986.7930908203125	891.5106201171875	963.1270751953125	739.2249145507812	728.7437744140625	889.9420166015625	769.1863403320312	890.7120361328125	689.0214233398438	1227.4945068359375	1320.685791015625	1140.300537109375	1152.6488037109375	1068.2506103515625	1126.2572021484375	1086.240966796875	1194.10107421875	1255.427001953125
A0A087WTV6	PYCR2	14495.0302734375	12844.8779296875	14783.251953125	16284.2568359375	11730.810546875	11527.6611328125	11222.875	12332.072265625	12793.0048828125	14519.0859375	13887.55078125	15847.7119140625	15309.966796875	11984.6630859375	13250.111328125	15478.25	16737.529296875	14311.7783203125
A0A087WTW0	UHRF1	36897.87109375	34004.5078125	34076.890625	37274.40625	33509.3203125	37500.171875	28453.017578125	29345.1640625	32070.0625	52211.5625	50372.796875	50386.171875	63939.734375	64260.21484375	69546.546875	80164.21875	93254.375	97223.7421875
A0A087WTW5;Q9UKL3	CASP8AP2	362.20660400390625	419.45379638671875	285.8396301269531	393.1798095703125	417.7873840332031	282.48187255859375	216.81466674804688	298.946044921875	214.9891815185547	869.1744384765625	997.2373046875	1141.144287109375	1172.2171630859375	1166.353759765625	1200.2625732421875	1579.232666015625	1871.1771240234375	1901.789306640625
A0A087WTY5;A0A3B3ISV3;P02462	COL4A1	1655.1314697265625	1825.1563720703125	2978.6533203125	1706.13623046875	1373.968017578125	1533.9892578125	1148.680419921875	879.860107421875	1039.6302490234375	2923.2734375	5001.88330078125	3372.278076171875	3546.698974609375	3235.699951171875	3821.73876953125	2753.457275390625	2254.05078125	2974.295654296875
A0A087WU03	HNRNPDL	5528.0595703125	5047.1396484375	4488.17138671875	6343.96533203125	5912.447265625	6974.89208984375	8835.251953125	7749.7763671875	7917.05029296875	5772.720703125	5077.6494140625	4588.26416015625	6667.3173828125	7351.544921875	7166.02587890625	12803.3583984375	13363.6142578125	15528.59375
A0A087WU06	TUBGCP3	7784.8359375	7901.99560546875	8854.5009765625	8703.9580078125	6670.33203125	10048.3857421875	4728.56298828125	4181.78857421875	5251.9150390625	346.71160888671875	318.983154296875	459.4921569824219	542.612060546875	470.5713195800781	970.8094482421875	685.9720458984375	719.074462890625	409.41650390625
A0A087WU07;Q5TGZ0	MICOS10	2841.1513671875	1705.51123046875	2242.545654296875	2087.269287109375	1346.506591796875	1647.5128173828125	1339.34130859375	1519.4163818359375	1393.476318359375	1531.2760009765625	1904.5263671875	2912.69677734375	2448.34033203125	1590.8544921875	1375.847412109375	1535.663818359375	1721.976806640625	2118.936767578125
A0A087WU13;A0A2R8Y478;A0A7I2V3T7;A6NNI4;F5GXT1;G8JLH6;P21926	CD9	43334.4765625	40087.15625	42340.8984375	42238.8828125	40324.78515625	42695.19921875	31818.318359375	33220.77734375	31325.58984375	37001.015625	34294.0859375	34531.94140625	28251.86328125	28414.248046875	26605.556640625	40234.21875	43792.203125	40364.28515625
A0A087WU28;A0A0B4J2C1	MRPL51	67.51653289794922	185.13710021972656	NaN	235.1392364501953	38.84787368774414	101.17221069335938	270.0577392578125	296.4703063964844	200.10203552246094	40.16765213012695	45.20960235595703	NaN	69.38363647460938	79.0248794555664	135.50698852539062	274.068603515625	291.8829345703125	41.91335678100586
A0A087WU53;A0A8I5KYH1;Q9H0U3	MAGT1	5976.02783203125	5885.203125	6034.255859375	6136.39599609375	5686.45703125	6378.6630859375	6145.94873046875	6307.20849609375	6367.6201171875	8932.9287109375	8637.283203125	8125.6552734375	7891.455078125	7772.44482421875	8388.2236328125	6292.5498046875	6194.20849609375	6266.54736328125
A0A087WU57;A0A087WV24;H7BZF7;P20711	DDC	395.9986267089844	229.41989135742188	235.53195190429688	376.4064025878906	203.0098419189453	314.90966796875	218.36526489257812	243.53245544433594	362.5494689941406	154.82958984375	195.42822265625	247.62603759765625	214.43345642089844	91.55863189697266	170.91798400878906	90.77497100830078	336.2025146484375	308.103271484375
A0A087WU74;A0A087WX24;A0A087WYU3;A0A087WYW1;H7BY14;Q96NU1	SAMD11	4980.5673828125	4056.547119140625	5271.8779296875	4720.21337890625	5098.20166015625	4051.306884765625	4023.489501953125	4568.37451171875	3781.210205078125	6870.68798828125	5592.9951171875	6439.0400390625	9027.1923828125	9606.8359375	9981.2421875	15936.783203125	17645.25390625	15528.4404296875
A0A087WUC8;K7EKC0;K7EP30;Q68CL5	TPGS2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A087WUD9;A0A7I2V2D2;E9PGN7;H9KV48;P05155	SERPING1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A087WUH9;Q9NYY3	PLK2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A087WUK2;O14979	HNRNPDL	266274.46875	256375.3125	256307.453125	244099.984375	275861.46875	260516.21875	210528.09375	215688.703125	203897.015625	138447.953125	138389.03125	139277.78125	157470.21875	170127.203125	166713.75	215285.125	204730.75	221987.734375
A0A087WUK4	NR2C1	1871.00048828125	1698.5394287109375	2192.6748046875	1878.216064453125	1659.8905029296875	1398.66259765625	1287.2169189453125	1210.1551513671875	1939.5811767578125	330.2301940917969	560.4172973632812	754.5562133789062	523.5271606445312	719.0064697265625	677.7703247070312	1046.105224609375	1175.9769287109375	1449.5950927734375
A0A087WUL2	PSMB3	545.2642211914062	455.3854675292969	156.85060119628906	389.75750732421875	271.42572021484375	243.04444885253906	389.4291687011719	525.9915161132812	410.67034912109375	264.95208740234375	151.15606689453125	154.3942108154297	147.20428466796875	87.7467041015625	128.6263427734375	319.70404052734375	326.4710998535156	181.086181640625
A0A087WUL4;A0A087WX23	PEG10	2982.798828125	2562.301025390625	2907.941162109375	2341.672119140625	2565.977783203125	2530.208984375	2046.3936767578125	1964.8770751953125	1858.1072998046875	5988.75341796875	5815.91650390625	5735.0166015625	5948.9794921875	5884.119140625	5290.0009765625	5821.0380859375	4765.2958984375	5880.33837890625
A0A087WUV0	ZNF892	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A087WV05;Q99417	;MYCBP	22297.642578125	28455.03125	29181.59765625	24394.634765625	24553.720703125	22951.423828125	19722.490234375	18479.482421875	19045.888671875	10970.29296875	8223.083984375	9324.5234375	9754.8515625	10075.3828125	7975.05078125	13306.8095703125	14576.2216796875	14958.68359375
A0A087WV25;A0A994J500;A0A994J518;A0A994J527;A0A994J5H0;A0A994J5H4;A0A994J7D3;A0A994J7Q7;O95684	CEP43;CEP43;CEP43;;CEP43;;CEP43;CEP43;CEP43	8130.31884765625	7457.1689453125	7639.150390625	8041.86669921875	7436.9072265625	8141.40380859375	6086.23046875	6405.8125	6199.95166015625	6611.1982421875	6986.837890625	7369.99560546875	6655.2255859375	7292.79638671875	7228.88134765625	8263.6044921875	9107.3134765625	9352.67578125
A0A087WV69;P56645	PER3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A0A087WV86;Q6PGQ7	BORA	318.44775390625	403.0995178222656	863.4580688476562	414.2305603027344	420.1878967285156	537.8994750976562	225.45286560058594	634.0215454101562	480.587890625	1133.2171630859375	1522.7537841796875	1716.8414306640625	1624.919677734375	1415.3399658203125	1364.6502685546875	1458.0115966796875	1737.697509765625	2111.5673828125
